kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_time0bk,koi_depth,koi_impact,koi_duration,koi_ror,koi_steff,koi_slogg,koi_srad,ra,dec
3831053,K00388.01,Kepler-1719 b,CONFIRMED,6.14955931,169.55182,333.7,0.368,5.5694,0.016797,5687.0,3.973,1.775,284.70691,38.936821
5092266,K03045.01,Kepler-1896 b,CONFIRMED,44.8702042,141.11446,636.1,0.436,4.199,0.023536,6122.0,4.471,0.996,289.67856,40.249641
4076976,K03124.01,,FALSE POSITIVE,4.8807805,133.705,79.0,0.581,9.4,0.008437,4763.0,4.738,0.516,296.25168,39.18399
8751796,K03125.01,Kepler-1435 b,CONFIRMED,4.45342418,133.09066,46.6,0.569,3.654,0.00649,6256.0,4.269,1.269,291.17328,44.921131
7097534,K03126.01,,FALSE POSITIVE,2.21396685,132.56407,81.6,0.017,4.374,0.008276,5986.0,4.461,0.93,284.29959,42.604321
9907129,K03127.01,Kepler-1436 b,CONFIRMED,9.705693,140.3709,140.8,0.941,7.702,0.013675,5808.0,4.178,1.385,297.71158,46.768021
9527334,K00049.01,Kepler-461 b,CONFIRMED,8.31377304,175.99137,837.4,0.002,2.964,0.026357,5900.0,4.509,0.951,292.24902,46.164822
10031885,K00329.01,,FALSE POSITIVE,8.58969597,174.9625,245.1,1.197,8.471,0.211637,6024.0,4.523,0.9,298.81821,46.94035
11361646,K00330.01,Kepler-524 b,CONFIRMED,7.97420583,174.52718,293.1,0.128,5.3503,0.015639,5973.0,4.386,1.081,296.85922,49.162048
11361646,K00330.02,Kepler-524 c,CONFIRMED,1.88899036,132.09517,59.0,0.011,3.486,0.007007,5973.0,4.386,1.081,296.85922,49.162048
10285631,K00331.01,Kepler-525 b,CONFIRMED,18.68405716,170.83245,381.5,0.858,6.9329,0.020651,5548.0,4.038,1.614,296.18344,47.358761
3964109,K00393.01,Kepler-544 b,CONFIRMED,21.41624083,176.24991,314.5,0.081,7.081,0.01625,6156.0,4.331,1.18,294.02911,39.051849
4159347,K00394.01,,FALSE POSITIVE,12.28351275,174.36652,597.8,1.224,3.634,0.24815,6171.0,3.668,2.759,292.03107,39.24548
3544595,K00069.01,Kepler-93 b,CONFIRMED,4.72674037,134.926396,273.1,0.657,2.9267,0.015943,5648.0,4.472,0.894,291.4183,38.672359
4165960,K00395.01,,FALSE POSITIVE,6.77449545,171.0118,481.9,1.178,2.5416,0.200695,6517.0,4.265,1.342,293.57086,39.25264
4376644,K00397.01,,FALSE POSITIVE,27.677680103,173.796579,11545.0,0.933,2.1704,0.136199,6075.0,4.486,0.969,294.5123,39.462139
9301506,K03047.01,,FALSE POSITIVE,0.605223042,131.75593,232.3,0.109,0.8986,0.013804,5089.0,4.559,0.757,298.78799,45.77422
5695396,K00283.02,Kepler-131 c,CONFIRMED,25.5172744,154.4165,66.8,0.322,4.735,0.007472,5680.0,4.414,1.016,288.53082,40.942299
9714550,K03048.01,Kepler-1695 b,CONFIRMED,4.73292061,131.579,151.6,0.121,1.746,0.011209,5595.0,4.581,0.796,293.61926,46.413342
6263593,K03049.01,Kepler-1418 b,CONFIRMED,22.4765952,136.82336,481.4,0.176,3.437,0.019619,4563.0,4.704,0.567,282.9975,41.678551
6964159,K03129.01,,FALSE POSITIVE,25.503628,139.3578,204.4,0.953,3.913,0.016771,5815.0,4.54,0.877,296.04401,42.454708
10252275,K03130.01,Kepler-1907 c,CONFIRMED,14.8638496,142.95729,220.6,1.006,2.705,0.033152,5159.0,4.508,0.8,280.70853,47.32806
10252275,K03130.02,Kepler-1907 b,CONFIRMED,5.65245733,136.97891,121.0,0.889,2.062,0.012065,5159.0,4.508,0.8,280.70853,47.32806
