threshold,recall,precision,f1,tp,fp,fn
0.3,0.9464720194647201,0.4911616161616162,0.6467165419783873,389,403,22
0.4,0.8710462287104623,0.5256975036710719,0.6556776556776557,358,323,53
0.5,0.6472019464720195,0.5807860262008734,0.6121979286536249,266,192,145
0.6,0.29927007299270075,0.6507936507936508,0.41,123,66,288
0.7,0.0364963503649635,0.6818181818181818,0.06928406466512702,15,7,396
0.8,0.0024330900243309003,1.0,0.0048543689320388345,1,0,410
